airport1,airport2,Oneworld,StarAlliance,Skyteam
BSB,MAO,2.0,0.0,0.0
BSB,MCZ,2.0,0.0,0.0
BSB,MIA,4.0,0.0,0.0
BSB,NAT,2.0,0.0,0.0
BSB,PMW,2.0,0.0,0.0
BSB,POA,2.0,0.0,0.0
BSB,PVH,2.0,0.0,0.0
BSB,RBR,2.0,0.0,0.0
BSB,REC,2.0,0.0,0.0
BSB,SDU,2.0,0.0,0.0
BSB,SLZ,2.0,0.0,0.0
BSB,SSA,2.0,0.0,0.0
BSB,THE,2.0,0.0,0.0
BSB,UDI,2.0,0.0,0.0
BSB,VCP,2.0,0.0,0.0
BSB,VIX,2.0,0.0,0.0
BSD,KMG,2.0,0.0,2.0
BSL,LHR,4.0,0.0,0.0
BSR,DOH,2.0,0.0,0.0
BTC,GIU,2.0,0.0,0.0
BTH,SZB,2.0,0.0,0.0
BTJ,PEN,2.0,0.0,0.0
BTK,DME,2.0,0.0,0.0
